Sample.ID	Patient.ID	changed
CAL54_KIDNEY	CAL54	wt
CAL62_THYROID	CAL62	wt
CAL72_BONE	CAL72	wt
CAL78_BONE	CAL78	wt
CAL851_BREAST	CAL851	wt
CALU1_LUNG	CALU1	wt
CALU3_LUNG	CALU3	wt
CALU6_LUNG	CALU6	wt
CAMA1_BREAST	CAMA1	mut
CAOV3_OVARY	CAOV3	wt
CAOV4_OVARY	CAOV4	wt
CAPAN1_PANCREAS	CAPAN1	wt
CAPAN2_PANCREAS	CAPAN2	wt
CAR1_LARGE_INTESTINE	CAR1	wt
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1	wt
CASKI_CERVIX	CASKI	wt
CBAGPN_BONE	CBAGPN	wt
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1	mut
CCK81_LARGE_INTESTINE	CCK81	wt
CCLFPEDS0004T_SOFT_TISSUE	CCLFPEDS0004T	wt
CCLFPEDS0008T_SOFT_TISSUE	CCLFPEDS0008T	wt
CCLFPEDS0018T_SOFT_TISSUE	CCLFPEDS0018T	wt
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCRFCEM	wt
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CESS	wt
CFPAC1_PANCREAS	CFPAC1	wt
CGTHW1_THYROID	CGTHW1	wt
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH157MN	wt
CHAGOK1_LUNG	CHAGOK1	wt
CHL1_SKIN	CHL1	wt
CHLA06ATRT_SOFT_TISSUE	CHLA06ATRT	wt
CHLA10_BONE	CHLA10	wt
CHLA15_AUTONOMIC_GANGLIA	CHLA15	wt
CHLA218_BONE	CHLA218	wt
CHLA258_BONE	CHLA258	wt
CHLA266_SOFT_TISSUE	CHLA266	wt
CHLA32_BONE	CHLA32	wt
CHLA57_BONE	CHLA57	wt
CHLA9_BONE	CHLA9	wt
CHLA99_BONE	CHLA99	wt
CHP126_AUTONOMIC_GANGLIA	CHP126	wt
CHP134_AUTONOMIC_GANGLIA	CHP134	wt
CHP212_AUTONOMIC_GANGLIA	CHP212	wt
CHSA0011_BONE	CHSA0011	wt
CHSA0108_BONE	CHSA0108	wt
CHSA8926_BONE	CHSA8926	wt
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI1	wt
CJM_SKIN	CJM	wt
CL11_LARGE_INTESTINE	CL11	wt
CL14_LARGE_INTESTINE	CL14	wt
CL34_LARGE_INTESTINE	CL34	wt
CL40_LARGE_INTESTINE	CL40	wt
CME1_SOFT_TISSUE	CME1	wt
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK	wt
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115	wt
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK86	wt
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMLT1	wt
COGAR359_SOFT_TISSUE	COGAR359	wt
COGE352_BONE	COGE352	wt
COGN278_AUTONOMIC_GANGLIA	COGN278	wt
COGN305_AUTONOMIC_GANGLIA	COGN305	wt
COLO201_LARGE_INTESTINE	COLO201	wt
COLO205_LARGE_INTESTINE	COLO205	wt
COLO320_LARGE_INTESTINE	COLO320	wt
COLO668_LUNG	COLO668	wt
COLO678_LARGE_INTESTINE	COLO678	wt
COLO679_SKIN	COLO679	wt
COLO680N_OESOPHAGUS	COLO680N	wt
COLO684_ENDOMETRIUM	COLO684	wt
COLO699_LUNG	COLO699	wt
COLO704_OVARY	COLO704	wt
COLO741_SKIN	COLO741	wt
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO775	wt
COLO783_SKIN	COLO783	wt
