Sample ID	Patient ID	changed
COLO741_SKIN	COLO741_SKIN	mut
LS411N_LARGE_INTESTINE	LS411N_LARGE_INTESTINE	mut
HEC1A_ENDOMETRIUM	HEC1A_ENDOMETRIUM	
TE1_OESOPHAGUS	TE1_OESOPHAGUS	
RERFLCAD1_LUNG	RERFLCAD1_LUNG	
SKMEL30_SKIN	SKMEL30_SKIN	
22RV1_PROSTATE	22RV1_PROSTATE	mut
C32_SKIN	C32_SKIN	mut
ES2_OVARY	ES2_OVARY	mut
NCIH1395_LUNG	NCIH1395_LUNG	
LS180_LARGE_INTESTINE	LS180_LARGE_INTESTINE	
SW1417_LARGE_INTESTINE	SW1417_LARGE_INTESTINE	mut
MDAMB415_BREAST	MDAMB415_BREAST	
A375_SKIN	A375_SKIN	mut
HT29_LARGE_INTESTINE	HT29_LARGE_INTESTINE	mut
HS294T_SKIN	HS294T_SKIN	mut
SKMEL5_SKIN	SKMEL5_SKIN	mut
WM2664_SKIN	WM2664_SKIN	mut
KM12_LARGE_INTESTINE	KM12_LARGE_INTESTINE	
LOXIMVI_SKIN	LOXIMVI_SKIN	mut
UACC257_SKIN	UACC257_SKIN	mut
IGR37_SKIN	IGR37_SKIN	mut
LN464_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	mut
A1207_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	mut
HCC364_LUNG	HCC364_LUNG	mut
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMMLEE_CENTRAL_NERVOUS_SYSTEM	mut
8305C_THYROID	8305C_THYROID	mut
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
NB1_AUTONOMIC_GANGLIA	NB1_AUTONOMIC_GANGLIA	
ZR7530_BREAST	ZR7530_BREAST	
NCIH2405_LUNG	NCIH2405_LUNG	
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
8505C_THYROID	8505C_THYROID	mut
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
