Sample.ID	Patient.ID	changed
OVCAR4_OVARY	OVCAR4	wt
HLF_LIVER	HLF	wt
SW1463_LARGE_INTESTINE	SW1463	wt
SF295_CENTRAL_NERVOUS_SYSTEM	SF295	wt
WM115_SKIN	WM115	wt
JHH4_LIVER	JHH4	wt
OE33_OESOPHAGUS	OE33	wt
SJSA1_BONE	SJSA1	wt
RERFLCAI_LUNG	RERFLCAI	wt
SKMES1_LUNG	SKMES1	wt
NCIH520_LUNG	NCIH520	wt
JHH5_LIVER	JHH5	wt
NCIH1963_LUNG	NCIH1963	wt
RL952_ENDOMETRIUM	RL952	wt
HCC15_LUNG	HCC15	wt
M059K_CENTRAL_NERVOUS_SYSTEM	M059K	wt
CALU6_LUNG	CALU6	wt
SKLU1_LUNG	SKLU1	wt
SW900_LUNG	SW900	wt
UACC62_SKIN	UACC62	wt
MFE319_ENDOMETRIUM	MFE319	wt
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3	wt
GI1_CENTRAL_NERVOUS_SYSTEM	GI1	wt
PC14_LUNG	PC14	wt
KYSE410_OESOPHAGUS	KYSE410	wt
A204_SOFT_TISSUE	A204	wt
PATU8902_PANCREAS	PATU8902	wt
RERFLCMS_LUNG	RERFLCMS	wt
DANG_PANCREAS	DANG	wt
HUPT3_PANCREAS	HUPT3	wt
EFE184_ENDOMETRIUM	EFE184	wt
GCIY_STOMACH	GCIY	wt
SH10TC_STOMACH	SH10TC	wt
CAOV4_OVARY	CAOV4	wt
HCC2218_BREAST	HCC2218	wt
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS21BM	wt
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS26	wt
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27	wt
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52	wt
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM	wt
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS81	wt
KPNSI9S_AUTONOMIC_GANGLIA	KPNSI9S	wt
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS34	wt
MKN74_STOMACH	MKN74	wt
KP3_PANCREAS	KP3	wt
KG1C_CENTRAL_NERVOUS_SYSTEM	KG1C	wt
HUH7_LIVER	HUH7	wt
KMBC2_URINARY_TRACT	KMBC2	wt
KMRC20_KIDNEY	KMRC20	wt
HUCCT1_BILIARY_TRACT	HUCCT1	wt
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIJK	wt
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK	wt
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1	wt
HEC108_ENDOMETRIUM	HEC108	wt
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115	wt
HEC265_ENDOMETRIUM	HEC265	wt
CAL12T_LUNG	CAL12T	wt
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1	wt
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW	wt
SKNSH_AUTONOMIC_GANGLIA	SKNSH	wt
CAMA1_BREAST	CAMA1	wt
AM38_CENTRAL_NERVOUS_SYSTEM	AM38	wt
HEC50B_ENDOMETRIUM	HEC50B	wt
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3	wt
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS11	wt
KP4_PANCREAS	KP4	wt
KE39_STOMACH	KE39	wt
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE97	wt
VMRCRCW_KIDNEY	VMRCRCW	wt
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1	wt
NUGC4_STOMACH	NUGC4	wt
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1	wt
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM1	wt
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116	wt
NCIH1568_LUNG	NCIH1568	wt
A498_KIDNEY	A498	wt
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1	wt
A673_BONE	A673	wt
AU565_BREAST	AU565	wt
