Sample.ID	Patient.ID	changed
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	wt
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUH28_BILIARY_TRACT	HUH28_BILIARY_TRACT	wt
CAL12T_LUNG	CAL12T_LUNG	wt
SKNSH_AUTONOMIC_GANGLIA	SKNSH_AUTONOMIC_GANGLIA	wt
HEC50B_ENDOMETRIUM	HEC50B_ENDOMETRIUM	wt
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3_UPPER_AERODIGESTIVE_TRACT	wt
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KP4_PANCREAS	KP4_PANCREAS	wt
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
BGC823_STOMACH	BGC823_STOMACH	wt
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	wt
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
CORL23_LUNG	CORL23_LUNG	wt
MORCPR_LUNG	MORCPR_LUNG	wt
HPAFII_PANCREAS	HPAFII_PANCREAS	wt
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
A498_KIDNEY	A498_KIDNEY	wt
COLO201_LARGE_INTESTINE	COLO201_LARGE_INTESTINE	wt
NCIH1793_LUNG	NCIH1793_LUNG	wt
NCIH1437_LUNG	NCIH1437_LUNG	wt
KNS62_LUNG	KNS62_LUNG	wt
HS578T_BREAST	HS578T_BREAST	wt
BT20_BREAST	BT20_BREAST	wt
SNU182_LIVER	SNU182_LIVER	wt
SKNMC_BONE	SKNMC_BONE	wt
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RDES_BONE	RDES_BONE	wt
MESSA_SOFT_TISSUE	MESSA_SOFT_TISSUE	wt
GCT_SOFT_TISSUE	GCT_SOFT_TISSUE	wt
SNU16_STOMACH	SNU16_STOMACH	wt
NCIN87_STOMACH	NCIN87_STOMACH	wt
H4_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	wt
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
T24_URINARY_TRACT	T24_URINARY_TRACT	wt
G401_SOFT_TISSUE	G401_SOFT_TISSUE	wt
HCC1937_BREAST	HCC1937_BREAST	wt
OCUM1_STOMACH	OCUM1_STOMACH	wt
SAOS2_BONE	SAOS2_BONE	wt
D283MED_CENTRAL_NERVOUS_SYSTEM	D283MED_CENTRAL_NERVOUS_SYSTEM	wt
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	wt
KYSE520_OESOPHAGUS	KYSE520_OESOPHAGUS	wt
YH13_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	wt
NCIH2052_PLEURA	NCIH2052_PLEURA	wt
SKNFI_AUTONOMIC_GANGLIA	SKNFI_AUTONOMIC_GANGLIA	wt
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SNU423_LIVER	SNU423_LIVER	wt
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC4_UPPER_AERODIGESTIVE_TRACT	wt
HCC1187_BREAST	HCC1187_BREAST	wt
SNU387_LIVER	SNU387_LIVER	wt
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
EPLC272H_LUNG	EPLC272H_LUNG	wt
BXPC3_PANCREAS	BXPC3_PANCREAS	wt
HCC1438_LUNG	HCC1438_LUNG	wt
HCC2108_LUNG	HCC2108_LUNG	wt
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR31_UPPER_AERODIGESTIVE_TRACT	wt
COV434_OVARY	COV434_OVARY	wt
HS751T_FIBROBLAST	HS751T_FIBROBLAST	wt
CORL47_LUNG	CORL47_LUNG	wt
FTC133_THYROID	FTC133_THYROID	wt
WM793_SKIN	WM793_SKIN	wt
A704_KIDNEY	A704_KIDNEY	wt
WM1799_SKIN	WM1799_SKIN	wt
HS255T_FIBROBLAST	HS255T_FIBROBLAST	wt
NCIH1092_LUNG	NCIH1092_LUNG	wt
JHH6_LIVER	JHH6_LIVER	wt
IGR1_SKIN	IGR1_SKIN	wt
COV644_OVARY	COV644_OVARY	wt
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	wt
CORL95_LUNG	CORL95_LUNG	wt
RT11284_URINARY_TRACT	RT11284_URINARY_TRACT	wt
OV7_OVARY	OV7_OVARY	wt
HT55_LARGE_INTESTINE	HT55_LARGE_INTESTINE	wt
OAW42_OVARY	OAW42_OVARY	wt
MDST8_LARGE_INTESTINE	MDST8_LARGE_INTESTINE	wt
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SKHEP1_LIVER	SKHEP1_LIVER	wt
NCIH596_LUNG	NCIH596_LUNG	wt
SW1573_LUNG	SW1573_LUNG	wt
SKCO1_LARGE_INTESTINE	SKCO1_LARGE_INTESTINE	wt
HT1197_URINARY_TRACT	HT1197_URINARY_TRACT	wt
A253_SALIVARY_GLAND	A253_SALIVARY_GLAND	wt
UMUC1_URINARY_TRACT	UMUC1_URINARY_TRACT	wt
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NCIH292_LUNG	NCIH292_LUNG	wt
U118MG_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	wt
HCC1833_LUNG	HCC1833_LUNG	wt
RH30_SOFT_TISSUE	RH30_SOFT_TISSUE	wt
TCCSUP_URINARY_TRACT	TCCSUP_URINARY_TRACT	wt
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33_UPPER_AERODIGESTIVE_TRACT	wt
CORL279_LUNG	CORL279_LUNG	wt
GB1_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	wt
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
COLO684_ENDOMETRIUM	COLO684_ENDOMETRIUM	wt
KLM1_PANCREAS	KLM1_PANCREAS	wt
GRM_SKIN	GRM_SKIN	wt
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NCCSTCK140_STOMACH	NCCSTCK140_STOMACH	wt
SNU719_STOMACH	SNU719_STOMACH	wt
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	wt
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	wt
SNU216_STOMACH	SNU216_STOMACH	wt
NCIH854_LUNG	NCIH854_LUNG	wt
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	wt
YD38_UPPER_AERODIGESTIVE_TRACT	YD38_UPPER_AERODIGESTIVE_TRACT	wt
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	wt
